
      time  open  high   low  close  volume
2025-10-16 142.3 143.0 139.4  139.5  244100
2025-10-17 139.4 140.0 136.5  138.9  640000
2025-10-20 136.0 138.9 129.2  129.2  450700
2025-10-21 129.3 138.2 129.3  138.2 1254700
2025-10-22 142.1 144.4 140.0  144.4  944400
2025-10-23 145.3 147.7 142.5  142.5  436400
2025-10-24 143.6 147.8 143.6  147.5  883500
2025-10-27 147.5 149.1 144.5  146.3  611600
2025-10-28 147.7 148.5 142.9  148.0  538900
2025-10-29 150.4 150.4 145.0  145.0  575200
2025-10-30 147.5 148.5 144.5  148.1 1027600
2025-10-31 148.1 148.4 145.7  148.4  649900
2025-11-03 148.0 148.4 145.6  147.0  711300
2025-11-04 144.6 146.9 139.9  143.0  836500
2025-11-05 143.9 143.9 141.5  143.0  269700
2025-11-06 143.6 143.6 139.5  143.0  458800
2025-11-07 139.6 142.5 139.5  139.5  351200
2025-11-10 135.0 142.6 135.0  139.1  310900
2025-11-11 137.9 141.9 137.9  141.9  195500
2025-11-12 139.5 144.0 139.5  144.0  290900
2025-11-13 144.1 149.1 139.5  145.1  572300
2025-11-14 145.1 146.0 142.5  146.0  209400
2025-11-17 146.8 148.5 144.4  146.6  579600
2025-11-18 147.0 148.5 145.4  148.5  956700
2025-11-19 148.6 148.6 144.6  147.0  695600
2025-11-20 146.3 147.0 141.8  142.2  552800
2025-11-21 142.0 143.3 140.0  142.3  296500
2025-11-24 142.3 143.5 140.4  140.4  187700
2025-11-25 140.3 142.0 139.3  142.0  302300
2025-11-26 141.5 146.0 141.5  145.1  418800
2025-11-27 145.5 146.7 144.1  146.1  362900
2025-11-28 146.0 147.8 145.0  147.0  481000
2025-12-01 146.2 147.8 145.0  145.0  345900
2025-12-02 144.2 145.0 142.5  145.0  446000
2025-12-03 145.9 155.1 145.0  155.1 2151500
2025-12-04 158.0 159.0 155.2  158.5  813600
2025-12-05 158.9 165.0 156.0  160.0 1133200
2025-12-08 160.0 160.0 154.1  157.3  681300
2025-12-09 156.0 158.0 148.0  154.5  992400
2025-12-10 152.9 154.2 149.6  149.6  441500
2025-12-11 149.7 152.5 149.7  150.0  364500
2025-12-12 150.9 150.9 140.0  140.0 1048100
